"","Module","Name","P_D","CLASS","b_mass","MStem","Flength","c","z","Main.Class","order","Biog"
"41",15,"Leptorinus ","D","FISH",NA,NA,NA,0,0,"FDE","Characiformes","Neotropics"
"6",2,"Liomys salvini","D","MAMMAL",42,NA,NA,0,0,"MDE","Rodentia","Neotropics"
"163",46,"Lipaugus lanioides","D","BIRDS",94.8,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"189",47,"Lithodoras dorsalis","D","FISH",NA,NA,NA,0.75,0,"BDE","Siluriformes","Neotropics"
"240",60,"Loxigilla noctis","D","BIRDS",16.63,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"138",40,"Lycalopex gymnocercus","D","MAMMAL",4689.969,NA,NA,0,0,"MXDE","Carnivora","Neotropics"
"30",11,"Makalata didelphoides","D","MAMMAL",400,NA,NA,0,-0.866025403784439,"MDE","Rodentia","Neotropics"
"198",52,"Manacus manacus","D","BIRDS",16.7,NA,NA,0.5,0,"MXDE","Passeriformes","Neotropics"
"248",61,"Margarops fuscatus","D","BIRDS",98.43,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"225",58,"Marmosa robinsoni","D","MAMMAL",56.667,NA,NA,0,0,"MXDE","Didelphimorphia","Neotropics"
"93",21,"Mazama americana","D","MAMMAL",22799.746,NA,NA,0.816326530612245,-0.408248290463863,"MDE","Artiodactyla","Neotropics"
"94",21,"Mazama gouazoubira","D","MAMMAL",16300.09,NA,NA,0.777777777777778,-0.408248290463863,"MDE","Artiodactyla","Neotropics"
"190",47,"Megalechis thoracata","D","FISH",NA,NA,NA,0,0,"BDE","Siluriformes","Neotropics"
"42",15,"Megalodoras uranoscopus","D","FISH",NA,NA,NA,0,0,"FDE","Siluriformes","Neotropics"
"208",55,"Melanerpes candidus","D","BIRDS",108,NA,NA,0,0,"MXDE","Piciformes","Neotropics"
"249",61,"Melanerpes portoricensis","D","BIRDS",59.86,NA,NA,0,0,"BDE","Piciformes","Neotropics"
"25",9,"Metachirus nudicaudatus","D","MAMMAL",375,NA,NA,0.5,0,"MDE","Didelphimorphia","Neotropics"
"43",15,"Metynnis ","D","FISH",NA,NA,NA,0,0,"FDE","Characiformes","Neotropics"
"226",58,"Microsciurus mimulus","D","MAMMAL",120,NA,NA,0,0,"MXDE","Rodentia","Neotropics"
"284",69,"Mimus polyglottos","D","BIRDS",48.5,NA,NA,0.5,NA,"BDE","Passeriformes","Neotropics"
"106",25,"Monodelphis americana","D","MAMMAL",19.5,NA,NA,0,0,"MDE","Didelphimorphia","Neotropics"
"164",46,"Myiodynastes maculatus","D","BIRDS",43.2,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"139",40,"Myiopsitta monachus","D","BIRDS",120,NA,NA,0.666666666666667,0,"MXDE","Psittaciformes","Neotropics"
"44",15,"Myleus ","D","FISH",NA,NA,NA,0,0,"FDE","Characiformes","Neotropics"
"215",57,"Myleus rhomboidalis","D","FISH",NA,NA,NA,0.666666666666667,0,"MXDE","Characiformes","Neotropics"
"199",52,"Myloplus ","D","FISH",NA,NA,NA,0,0,"MXDE","Characiformes","Neotropics"
"213",56,"Myloplus asterias","D","FISH",NA,NA,NA,0.5,0,"FDE","Characiformes","Neotropics"
"214",56,"Myloplus rubripinnis","D","FISH",NA,NA,NA,0.5,0,"FDE","Characiformes","Neotropics"
"125",33,"Myloplus torquatus","D","FISH",NA,NA,NA,0.5,0,"FDE","Characiformes","Neotropics"
"27",10,"Myoprocta acouchy","D","MAMMAL",599.998,NA,NA,0.375,0.577350269189626,"MDE","Rodentia","Neotropics"
"110",26,"Myoprocta pratti","D","MAMMAL",599.998,NA,NA,0,0,"MXDE","Rodentia","Neotropics"
"140",40,"Nandayus nenday","D","BIRDS",128,NA,NA,0.5,0,"MXDE","Psittaciformes","Neotropics"
"80",18,"Nasua narica","D","MAMMAL",4030.046,NA,NA,0,0.341230649509073,"MDE","Carnivora","Neotropics"
"107",25,"Nasua nasua","D","MAMMAL",3793.849,NA,NA,0.8,0,"MDE","Carnivora","Neotropics"
"7",2,"Nectomys squamipes","D","MAMMAL",190.748,NA,NA,0,0,"MDE","Rodentia","Neotropics"
"135",38,"Odocoileus virginianus","D","MAMMAL",55508.565,NA,NA,0.8,NA,"MDE","Artiodactyla","Neotropics"
"141",40,"Ortalis canicollis","D","BIRDS",539,NA,NA,0,0,"MXDE","Galliformes","Neotropics"
"276",68,"Ortalis guttata","D","BIRDS",547.72,NA,NA,0.5,0,"MXDE","Galliformes","Neotropics"
"149",41,"Ortalis ruficauda","D","BIRDS",586.24,NA,NA,0,0,"BDE","Galliformes","Neotropics"
"133",37,"Ortalis vetula","D","BIRDS",562.6,NA,NA,0.375,0,"BDE","Galliformes","Neotropics"
"165",46,"Orthogonys chloricterus","D","BIRDS",40,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"256",62,"Orthopsittaca manilata","D","BIRDS",372,NA,NA,0.5,0,"BDE","Psittaciformes","Neotropics"
"45",15,"Oxydoras niger","D","FISH",NA,NA,NA,0,0,"FDE","Siluriformes","Neotropics"
"31",11,"Oxysternon festivum","D","COLEOPTERA",NA,NA,NA,0,-0.866025403784439,"MDE","Coleoptera","Neotropics"
"277",68,"Parula pitiayumi","D","BIRDS",6.82,NA,NA,0,0,"MXDE","Passeriformes","Neotropics"
"250",61,"Patagioenas inornata","D","BIRDS",365,NA,NA,0,0,"BDE","Columbiformes","Neotropics"
"1",1,"Patagioenas leucocephala","D","BIRDS",240.14,NA,NA,0.5,NA,"BDE","Columbiformes","Neotropics"
"251",61,"Patagioenas squamosa","D","BIRDS",312,NA,NA,0,0,"BDE","Columbiformes","Neotropics"
"46",15,"Paulicea lutkeni","D","FISH",NA,NA,NA,0,0,"FDE","Siluriformes","Neotropics"
"34",13,"Pecari tajacu","D","MAMMAL",21266.695,NA,NA,0.90359168241966,0.577350269189626,"MXDE","Artiodactyla","Neotropics"
"202",54,"Peltocephalus dumerilianus","D","REPTILES",NA,NA,NA,0.5,0,"MXDE","Testudines","Neotropics"
"227",58,"Penelope jacquacu","D","BIRDS",1487.9,NA,NA,0,0,"MXDE","Galliformes","Neotropics"
"200",53,"Penelope marail","D","BIRDS",879.67,NA,NA,0.666666666666667,NA,"BDE","Galliformes","Neotropics"
"278",68,"Penelope obscura","D","BIRDS",1770,NA,NA,0.5,0,"MXDE","Galliformes","Neotropics"
"134",37,"Penelope purpurascens","D","BIRDS",2060,NA,NA,0.375,0,"BDE","Galliformes","Neotropics"
"279",68,"Penelope superciliaris","D","BIRDS",894.99,NA,NA,0,0,"MXDE","Galliformes","Neotropics"
"228",58,"Perissocephalus tricolor","D","BIRDS",338.88,NA,NA,0,0,"MXDE","Passeriformes","Neotropics"
"69",17,"Peromyscus mexicanus","D","MAMMAL",32.6,NA,NA,0,0,"MDE","Rodentia","Neotropics"
"12",4,"Philander frenatus","D","MAMMAL",455.248,NA,NA,0,0,"MDE","Didelphimorphia","Neotropics"
"92",20,"Philander opossum","D","MAMMAL",585.499,NA,NA,0.75,0,"MDE","Didelphimorphia","Neotropics"
"47",15,"Phractocephalus hemiliopterus","D","FISH",NA,NA,NA,0,0,"FDE","Siluriformes","Neotropics"
"123",32,"Piaractus brachypomus","D","FISH",NA,NA,NA,0.888888888888889,0,"FDE","Characiformes","Neotropics"
"121",31,"Piaractus mesopotamicus","D","FISH",NA,NA,NA,0.75,0,"FDE","Characiformes","Neotropics"
"48",15,"Pimelodella ","D","FISH",NA,NA,NA,0,0,"FDE","Siluriformes","Neotropics"
"142",40,"Pimelodus maculatus","D","FISH",NA,NA,NA,0,0,"MXDE","Siluriformes","Neotropics"
"229",58,"Pionites leucogaster","D","BIRDS",155,NA,NA,0,0,"MXDE","Psittaciformes","Neotropics"
"192",48,"Pionites melanocephalus","D","BIRDS",148.78,NA,NA,0.666666666666667,0,"BDE","Psittaciformes","Neotropics"
"230",58,"Pionus fuscus","D","BIRDS",206,NA,NA,0,0,"MXDE","Psittaciformes","Neotropics"
"111",26,"Pionus maximiliani","D","BIRDS",293,NA,NA,0.5,0,"MXDE","Psittaciformes","Neotropics"
"166",46,"Pipile cujubi","D","BIRDS",1195.82,NA,NA,0,0,"BDE","Cracidae","Neotropics"
"167",46,"Pipile jacutinga","D","BIRDS",1240.96,NA,NA,0,0,"BDE","Cracidae","Neotropics"
"19",8,"Pitangus sulphuratus","D","BIRDS",62.85,NA,NA,0.5,0,"BDE","Passeriformes","Neotropics"
"231",58,"Pithecia albicans","D","MAMMAL",2800.013,NA,NA,0,0,"MXDE","Primates","Neotropics"
"168",46,"Ploceus cucullatus","D","BIRDS",36.08,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"203",54,"Podocnemis expansa","D","REPTILES",NA,NA,NA,0,0,"MXDE","Testudines","Neotropics"
"81",18,"Potamocarcinus richmondi","D","MALACOSTRACA",NA,NA,NA,0,-1.02369194852722,"MDE","Decapoda","Neotropics"
"82",18,"Potos flavus","D","MAMMAL",3000,NA,NA,0.48,0.341230649509073,"MDE","Carnivora","Neotropics"
"143",40,"Primolius auricollis","D","BIRDS",245,NA,NA,0,0,"MXDE","Psittaciformes","Neotropics"
"232",58,"Priodontes maximus","D","MAMMAL",45359.682,NA,NA,0,0,"MXDE","Cingulata","Neotropics"
"169",46,"Procnias nudicollis","D","BIRDS",172.04,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"130",35,"Procyon cancrivorus","D","MAMMAL",6949.923,NA,NA,0.75,0,"MDE","Carnivora","Neotropics"
"259",64,"Procyon lotor","D","MAMMAL",4724.9615,NA,NA,0.666666666666667,0,"MDE","Carnivora","Neotropics"
"57",16,"Proechimys brevicauda","D","MAMMAL",284.997,NA,NA,0,0.957427107756338,"MDE","Rodentia","Neotropics"
"58",16,"Proechimys cuvieri","D","MAMMAL",329.997,NA,NA,0.444444444444444,0.957427107756338,"MDE","Rodentia","Neotropics"
"28",10,"Proechimys guyannensis","D","MAMMAL",316.002,NA,NA,0,-1.15470053837925,"MDE","Rodentia","Neotropics"
"59",16,"Proechimys longicaudatus","D","MAMMAL",204.998,NA,NA,0,0.957427107756338,"MDE","Rodentia","Neotropics"
"60",16,"Proechimys pattoni","D","MAMMAL",290.54745,NA,NA,0,0.957427107756338,"MDE","Rodentia","Neotropics"
"83",18,"Proechimys semispinosus","D","MAMMAL",284.997,NA,NA,0,0.341230649509073,"MDE","Rodentia","Neotropics"
"61",16,"Proechimys simonsi","D","MAMMAL",284.997,NA,NA,0,0.957427107756338,"MDE","Rodentia","Neotropics"
"62",16,"Proechimys steerei","D","MAMMAL",284.997,NA,NA,0,0.957427107756338,"MDE","Rodentia","Neotropics"
"233",58,"Proechymis ","D","MAMMAL",NA,NA,NA,0,0,"MXDE","Rodentia","Neotropics"
"118",30,"Psarocolius montezuma","D","BIRDS",309.87,NA,NA,0,0,"MXDE","Passeriformes","Neotropics"
"196",51,"Psophia crepitans","D","BIRDS",1026,NA,NA,0,NA,"BDE","Gruiformes","Neotropics"
"234",58,"Psophia leucoptera","D","BIRDS",1315.58,NA,NA,0,0,"MXDE","Gruiformes","Neotropics"
"49",15,"Pterodoras granulosus","D","FISH",NA,NA,NA,0.5,0,"FDE","Siluriformes","Neotropics"
"235",58,"Pteroglossus aracari","D","BIRDS",250.16,NA,NA,0,0,"MXDE","Piciformes","Neotropics"
"170",46,"Pteroglossus bailloni","D","BIRDS",146,NA,NA,0,0,"BDE","Piciformes","Neotropics"
"236",58,"Pteroglossus viridis","D","BIRDS",135,NA,NA,0,0,"MXDE","Piciformes","Neotropics"
"280",68,"Pteropus conspicillatus","D","MAMMAL",775.7,NA,NA,0,0,"MXDE","Chiroptera","Neotropics"
"144",40,"Puma concolor","D","MAMMAL",51600.035,NA,NA,0,0,"MXDE","Carnivora","Neotropics"
"171",46,"Pyroderus scutatus","D","BIRDS",357,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"172",46,"Pyrrhura frontalis","D","BIRDS",72,NA,NA,0,0,"BDE","Psittaciformes","Neotropics"
"237",58,"Ramphastos cuvieri","D","BIRDS",651.68,NA,NA,0,0,"MXDE","Piciformes","Neotropics"
"281",68,"Ramphastos dicolorus","D","BIRDS",331,NA,NA,0.5,0,"MXDE","Piciformes","Neotropics"
"33",12,"Ramphastos sulfuratus","D","BIRDS",409.69,NA,NA,0.5,NA,"BDE","Piciformes","Neotropics"
"84",18,"Ramphastos swainsonii","D","BIRDS",651.68,NA,NA,0,-1.02369194852722,"MDE","Piciformes","Neotropics"
"173",46,"Ramphastos toco","D","BIRDS",617.99,NA,NA,0,0,"BDE","Piciformes","Neotropics"
"265",66,"Ramphastos tucanus","D","BIRDS",659.58,NA,NA,0.5,0,"MXDE","Piciformes","Neotropics"
"282",68,"Ramphastos vitellinus","D","BIRDS",360.36,NA,NA,0.5,0,"MXDE","Piciformes","Neotropics"
"283",68,"Ramphocelus bresilius","D","BIRDS",32.9,NA,NA,0,0,"MXDE","Passeriformes","Neotropics"
"50",15,"Rhamdia schomburgkii","D","FISH",NA,NA,NA,0,0,"FDE","Siluriformes","Neotropics"
"145",40,"Rhea americana","D","BIRDS",23000,NA,NA,0,0,"MXDE","Rheiformes","Neotropics"
"216",57,"Rhinemys rufipes","D","REPTILES",NA,NA,NA,0.8,0,"MXDE","Testudines","Neotropics"
"63",16,"Rhinoclemys punctularia","D","REPTILES",NA,NA,NA,0,-0.957427107756338,"MDE","Testudines","Neotropics"
"37",14,"Rupicola rupicola","D","BIRDS",194.56,NA,NA,0.666666666666667,NA,"BDE","Passeriformes","Neotropics"
"85",18,"Saguinus geoffroyi","D","MAMMAL",486.497,NA,NA,0,-1.02369194852722,"MDE","Primates","Neotropics"
"112",26,"Saimiri boliviensis","D","MAMMAL",615.007,NA,NA,0,0,"MXDE","Primates","Neotropics"
"95",21,"Saimiri sciureus","D","MAMMAL",743.242,NA,NA,0.625,-0.408248290463863,"MDE","Primates","Neotropics"
"241",60,"Saltator albicollis","D","BIRDS",41.33,NA,NA,0,0,"BDE","Passeriformes","Neotropics"
"20",8,"Saltator similis","D","BIRDS",43.3,NA,NA,0.5,0,"BDE","Passeriformes","Neotropics"
"35",13,"Salvator merianae","D","REPTILES",NA,NA,NA,0.666666666666667,-1.15470053837925,"MXDE","Passeriformes","Neotropics"
"96",21,"Sapajus apella","D","MAMMAL",2500,NA,NA,0.839506172839506,-0.408248290463863,"MDE","Primates","Neotropics"
"266",67,"Sapajus nigritus","D","MAMMAL",2615.57325,NA,NA,0.5,NA,"MDE","Primates","Neotropics"
"209",55,"Sarcoramphus papa","D","BIRDS",3400,NA,NA,0,0,"MXDE","Accipitriformes","Neotropics"
"210",55,"Schistochlamys melanopis","D","BIRDS",33,NA,NA,0,0,"MXDE","Passeriformes","Neotropics"
"64",16,"Sciurillus pusillus","D","MAMMAL",39,NA,NA,0,-0.957427107756338,"MDE","Rodentia","Neotropics"
